"i","w","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
241,4.52598563634407e-07,-0.694531183508598,0.333025848098348,7.48958907127689,1789.31665913883,4.56604596833604,96.163125015103,-1.78853010035764,0.143253032033204,0.0303856655794018,0.416669304393854,0.396672566114513
242,1.38445124011162e-06,-0.547242454034786,0.366504417053536,7.62250197369408,2043.66894453778,4.55157471897388,94.7815451573306,-1.93376762314579,0.126334147348597,0.0647470255694209,0.339134224771222,0.475038715561216
243,0.000308945929349312,-0.481823028289223,0.381821736152742,8.98361717565925,7971.41403430755,5.43315114176644,228.869309957118,-1.77466409374083,0.144963261738839,0.0491282460597366,1.12331682301011,0.427026097308829
244,8.58452226146186e-05,-0.569664722540122,0.361314191974002,8.49084519771011,4869.98043059432,4.84159432966882,126.671146390636,-1.62394814114022,0.164661092758313,0.176533307962352,0.883317672378964,0.589546928219469
245,3.82871779202087e-07,-0.748538915628929,0.321139747105583,7.64641827190138,2093.1351063706,4.75592528586651,116.2711874932,-1.75329469597352,0.147632122269302,0.0162416929456237,0.346770180326773,0.439679574931352
246,6.8668819986002e-05,-0.381639032808693,0.405731643184826,8.26789174203116,3896.72502449218,5.34001766848737,208.516394425831,-1.42633186556614,0.193670865558323,0.142462994216471,1.34874529295821,0.642585529474176
247,1.46507049718863e-05,0.0348214727448448,0.508704488662581,8.44517433851905,4652.56676386634,5.91421043858101,370.261842796005,-1.63146015081488,0.163630433373024,0.106950890515154,0.816082396520713,0.221097006373143
248,3.08532786329193e-06,-0.553548999118346,0.365041406719622,7.66398046242499,2130.21983527055,4.49491775133232,89.5608024255289,-1.97428533182814,0.121929344316014,0.0476317158581925,0.657079975836953,0.413882506320238
249,5.2579971116757e-07,-0.574982016729513,0.360088047040565,7.73217373700684,2280.55414166271,4.55843567405355,95.4340730034716,-2.02960653902388,0.11612930209756,0.0320319478226539,0.504191540466894,0.394544250375222
250,1.07167414935264e-06,-0.543968943778098,0.367264788762892,8.31449586034987,4082.62670441633,4.752432575989,115.865794340623,-1.86482405199529,0.134141759629693,0.0565819372163555,0.461469656211578,0.464617824249972
251,8.55933811481087e-06,-0.523709053454725,0.371985342755596,8.0970398220661,3284.73028349239,4.63813621228827,103.3515426302,-1.74470790810738,0.148715929477838,0.05777874415788,0.650755554014438,0.509012349656364
252,0.000419045255806582,0.852453708511939,0.701081610386402,7.99053614214153,2952.87969840467,4.91451848838805,136.253686272455,-1.27298204567972,0.218747202428217,0.0679675297399317,0.642889977976646,0.540068039098503
