"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
245,5.19762960811653e-05,1.02415134815456,0.735780442589082,10.2535064977804,28381.8886685857,6.25192206546255,519.009436697757,-2.14551833091093,0.104750761396966,0.254683979194151,2.05538885075603,0.435923663802421
246,7.56456595247927e-05,-0.282054832520567,0.429950078650898,9.28675588155135,10794.1098659147,5.69258037530386,296.65812315927,-3.28216932245426,0.0361879776857257,0.120344448702876,0.648173853379067,0.173498579213379
247,0.0162289848648267,-0.527622685820771,0.371071529291577,9.59959701083775,14758.8327173646,5.73542940439803,309.645905529442,-3.480290828402,0.0298782488329615,0.0929748980800377,0.172484909967818,0.113021145796856
248,0.000420756465197433,0.640235445611761,0.654806681469175,10.7236450793344,45417.1506054949,5.19479378844309,180.330952636119,-1.98281219668805,0.12101937520378,0.297314748324967,0.870826413776445,0.219079635165038
249,2.92740299829524e-05,0.974443537038099,0.726004302426869,10.5964409477497,39992.2493371511,6.34423930015669,569.20423141494,-2.09430317914941,0.109651756303655,0.136664433897877,1.94869121843074,0.496595776427438
250,0.000169379016354912,0.860072897430057,0.702675884482043,10.2558692896468,28449.0284517161,6.58242866643134,722.29140567396,-2.25010901178873,0.0953400621810723,0.631814166133693,0.956832427915414,0.415820109377436
251,0.000148622791889921,0.277045175992513,0.56882166109925,10.7203382638481,45267.2125139593,5.29969866384292,200.276450345079,-2.05622611675235,0.113424776958841,0.295490932295304,1.13054530685645,0.292112575428864
252,7.62779798316959e-06,0.466447649148929,0.614542618702168,10.6831175000115,43613.3031104958,5.11096180959805,165.829774864708,-1.86432801608042,0.134199383540446,0.335455848533938,0.929132798837386,0.208144529526205
253,0.000768287579699995,1.02086824586098,0.73514168872773,9.95071932070254,20967.2991709752,5.9767528387744,394.158392042812,-2.32427588160997,0.0891322997777698,0.196595072721575,2.10622284934572,0.416973565178005
254,2.71969316626688e-05,1.04956913128144,0.740692151978628,10.2597467053659,28559.5512948617,6.42315158859899,615.941251841923,-2.27870700300308,0.0929018580598477,0.108914301239845,1.90030171837808,0.326380135948672
255,0.00823998474893318,-0.221789094604386,0.44477890331605,9.21147119719156,10011.3146483929,6.73804901096019,843.912664330394,-1.94651633351125,0.124933713645321,0.370336414361636,1.75023707416773,0.280647114624052
256,1.03993858071309e-05,0.352886066148879,0.587317267043752,10.7965769082001,48853.2853085899,5.38453065224442,218.007758639324,-2.07665213523014,0.111386907040511,0.329347242755878,0.946676087981753,0.238613242493124
257,0.000703624159344163,0.275104087084612,0.568345519228815,11.0433262221903,62525.2792650646,4.95885527990286,142.430659303782,-1.90055763887017,0.130045373668254,0.221163489084513,0.717039811762283,0.246546252765079
258,5.81207064375322e-05,0.68070614921586,0.663896284365526,10.412961821932,33288.3186099332,6.92896534174433,1021.4365948955,-2.38132350569672,0.0846080045189102,0.591812140383481,1.10914483788939,0.354428240517698
259,0.0019611762373585,0.590312474330255,0.643436838603231,11.4607589714417,94917.0822887098,5.24302043991211,189.240830604411,-2.77926394395981,0.0584550534753154,0.0765677999823447,1.19104580269136,0.458101494150188
